Institution Code,Facility Name,Street,City,State,Zip Code
mon,MONTGOMERY FPC,MAXWELL AIR FORCE BASE,MONTGOMERY,AL,36112
lor,LORETTO FCI,P.O. BOX 1000,CRESSON,PA,16630
nym,NEW YORK MCC,150 PARK ROW,NEW YORK,NY,10007
mim,MIAMI FDC,P.O. BOX 019120,MIAMI,FL,33101
est,ESTILL FCI,P.O. BOX 699,ESTILL,SC,29918
eng,ENGLEWOOD FCI,9595 WEST QUINCY AVENUE,LITTLETON,CO,80123
jes,JESUP FCI,2680 301 SOUTH,JESUP,GA,31599
mia,MIAMI FCI,P.O. BOX 779800,MIAMI,FL,33177
men,MENDOTA FCI,P.O. BOX 9,MENDOTA,CA,93640
ash,ASHLAND FCI,P.O. BOX 6001,ASHLAND,KY,41105
tex,TEXARKANA FCI,P.O. BOX 7000,TEXARKANA,TX,75505
gua,GUAYNABO MDC,P.O. BOX 2005,CATANO,RQ,00963
dub,DUBLIN FCI,5701 8TH ST - CAMP PARKS,DUBLIN,CA,94568
lex,LEXINGTON FMC,P.O. BOX 14500,LEXINGTON,KY,40512
man,MANCHESTER FCI,P.O. BOX 4000,MANCHESTER,KY,40962
okl,OKLAHOMA CITY FTC,P.O. BOX 898801,OKLAHOMA CITY,OK,73189
rch,ROCHESTER FMC,P.O. BOX 4000,ROCHESTER,MN,55903
elk,ELKTON FCI,P.O. BOX 10,LISBON,OH,44432
lat,LA TUNA FCI,P.O. BOX 6000,ANTHONY,NM,88021
pen,PENSACOLA FPC,P.O. BOX 3949,PENSACOLA,FL,32516
gre,GREENVILLE FCI,P.O. BOX 5000,GREENVILLE,IL,62246
sea,SEAGOVILLE FCI,P.O. BOX 9000,SEAGOVILLE,TX,75159
caa,CANAAN USP,P.O. BOX 300,WAYMART,PA,18472
sdc,SAN DIEGO MCC,808 UNION STREET,SAN DIEGO,CA,92101
was,WASECA FCI,P.O. BOX 1731,WASECA,MN,56093
ere,EL RENO FCI,P.O. BOX 1500,EL RENO,OK,73036
cum,CUMBERLAND FCI,P.O. BOX 1000,CUMBERLAND,MD,21501
mil,MILAN FCI,P.O. BOX 1000,MILAN,MI,48160
mcd,MCDOWELL FCI,P.O.BOX 1009,WELCH,WV,24801
ali,ALICEVILLE FCI,P.O.BOX 4000,ALICEVILLE,AL,35442
she,SHERIDAN FCI,P.O. BOX 5000,SHERIDAN,OR,97378
oxf,OXFORD FCI,P.O. BOX 1000,OXFORD,WI,53952
bas,BASTROP FCI,P.O. BOX 1010,BASTROP,TX,78602
ber,BERLIN FCI,P.O. BOX 9000,BERLIN,NH,03570
ftd,FORT DIX FCI,P.O. BOX 2000,JOINT BASE MDL,NJ,08640
mcr,MCCREARY USP,P.O. BOX 3000,PINE KNOT,KY,42635
rbk,RAY BROOK FCI,P.O. BOX 900,RAY BROOK,NY,12977
phx,PHOENIX FCI,37910 N 45TH AVE,PHOENIX,AZ,85086
ccc,CHICAGO MCC,71 WEST VAN BUREN STREET,CHICAGO,IL,60605
atl,ATLANTA FCI,P.O. BOX 150160,ATLANTA,GA,30315
yan,YANKTON FPC,P.O. BOX 700,YANKTON,SD,57078
trv,THREE RIVERS FCI,P.O. BOX 4200,THREE RIVERS,TX,78071
lee,LEE USP,P.O. BOX 305,JONESVILLE,VA,24263
hon,HONOLULU FDC,P.O. BOX 30080,HONOLULU,HI,96820
mrg,MORGANTOWN FPC,P.O. BOX 1000,MORGANTOWN,WV,26507
fai,FAIRTON FCI,P.O. BOX 420,FAIRTON,NJ,08320
lew,LEWISBURG FCI,P.O. BOX 1000,LEWISBURG,PA,17837
sch,SCHUYLKILL FCI,P.O. BOX 759,MINERSVILLE,PA,17954
mna,MARIANNA FCI,P.O. BOX 7007,MARIANNA,FL,32447
atw,ATWATER USP,P.O. BOX 019001,ATWATER,CA,95301
set,SEATAC FDC,P.O. BOX 13900,SEATTLE,WA,98198
pek,PEKIN FCI,P.O. BOX 5000,PEKIN,IL,61555
ben,BENNETTSVILLE FCI,P.O. BOX 52020,BENNETTSVILLE,SC,29512
bsy,BIG SANDY USP,P.O. BOX 2068,INEZ,KY,41224
mem,MEMPHIS FCI,"P.O, BOX 34550",MEMPHIS,TN,38184
los,LOS ANGELES MDC,METROPOLITIAN DETENTION CTR,LOS ANGELES,CA,90053
edg,EDGEFIELD FCI,P.O. BOX 725,EDGEFIELD,SC,29824
wil,WILLIAMSBURG FCI,P.O. BOX 340,SALTERS,SC,29590
big,BIG SPRING FCI,1900 SIMLER AVE,BIG SPRING,TX,79720
trm,TERMINAL ISLAND FCI,PO BOX 3007,SAN PEDRO,CA,90733
bro,BROOKLYN MDC,P.O. BOX 329002,BROOKLYN,NY,11232
bop,CENTRAL OFFICE,"320 FIRST STREET, NW",WASHINGTON,DC,20534
crw,CARSWELL FMC,P.O. BOX 27137,FORT WORTH,TX,76127
sst,SANDSTONE FCI,P.O. BOX 1000,SANDSTONE,MN,55072
hou,HOUSTON FDC,P.O. BOX 526255,HOUSTON,TX,77052
spg,SPRINGFIELD USMCFP,P.O. BOX 4000,SPRINGFIELD,MO,65801
phl,PHILADELPHIA FDC,P.O. BOX 562,PHILADELPHIA,PA,19105
mck,MCKEAN FCI,P.O. BOX 8000,BRADFORD,PA,16701
com,COLEMAN MED FCI,P.O. BOX 1032,COLEMAN,FL,33521
otv,OTISVILLE FCI,P.O. BOX  1000,OTISVILLE,NY,10963
tdg,TALLADEGA FCI,P.M.B 1000,TALLADEGA,AL,35160
lvn,LEAVENWORTH FCI,P.O. BOX 1000,LEAVENWORTH,KS,66048
ftw,FORT WORTH ADMINISTRATIVE FMC,P.O. BOX 15330,FORT WORTH,TX,76119
tom,THOMSON FCI,PO BOX 1002,THOMSON,IL,61285
gil,GILMER FCI,P.O. BOX 6000,GLENVILLE,WV,26351
her,HERLONG FCI,P.O. BOX 800,HERLONG,CA,96113
dth,DULUTH FPC,P.O. BOX 1000,DULUTH,MN,55814
tal,TALLAHASSEE FCI,P.O. BOX 5000,TALLAHASSEE,FL,32314
bec,BECKLEY FCI,P.O. BOX 350,BEAVER,WV,25813
bry,BRYAN FPC,P.O. BOX 2149,BRYAN,TX,77805
dev,DEVENS FMC,P.O. BOX 879,AYER,MA,01432
ald,ALDERSON FPC,GLEN RAY RD. BOX A,ALDERSON,WV,24910
dan,DANBURY FCI,ROUTE 37,DANBURY,CT,06811
mar,MARION FCI,P.O. BOX 1000,MARION,IL,62959
saf,SAFFORD FCI,P.O. BOX 9000,SAFFORD,AZ,85548
buh,BUTNER FMC,P.O. BOX 1600,BUTNER,NC,27509
cop,COLEMAN I USP,P.O. BOX 1033,COLEMAN,FL,33521
cda,DALLAS CCM,US ARMED FORCES RESERVE CMPL,GRAND PRAIRIE,TX,75051
ckc,KANSAS CITY CCM,"400 STATE AVE., RM 131",KANSAS CITY,KS,66101
bmp,BEAUMONT USP,P. O. BOX 26030,BEAUMONT,TX,77720
cst,ST LOUIS CCM,"1222 SPRUCE ST, SUITE 6.101",ST LOUIS,MO,63103
flf,FLORENCE FCI,PO BOX 6000,FLORENCE,CO,81226
for,FORREST CITY FCI,P.O. BOX 9000,FORREST CITY,AR,72336
vim,VICTORVILLE MED I FCI,P.O. BOX 3725,ADELANTO,CA,92301
cpg,PITTSBURGH CCM,"1000 LIBERTY AVENUE,STE 1315",PITTSBURGH,PA,15222
cmy,MONTGOMERY CCM,"MAXWELL AFB, BLDG 1209",MONTGOMERY,AL,36112
cnv,NASHVILLE CCM,"701 BROADWAY ST, SUITE 124",NASHVILLE,TN,37203
bml,BEAUMONT LOW FCI,P.O. BOX 26020,BEAUMONT,TX,77720
but,BUTNER MED I FCI,P.O. BOX 1000,BUTNER,NC,27509
csc,SACRAMENTO CCM,"501 I STREET, SUITE 9-400",SACRAMENTO,CA,95814
bmm,BEAUMONT MED FCI,P.O. BOX 26040,BEAUMONT,TX,77720
alf,ALLENWOOD LOW FCI,P.O. BOX 1000,WHITE DEER,PA,17887
cmm,MIAMI CCM,401 N MIAMI AVENUE,MIAMI,FL,33128
cph,PHOENIX CCM,"230 N FIRST AVE, SUITE 405",PHOENIX,AZ,85003
flm,FLORENCE ADMAX USP,PO BOX 8500,FLORENCE,CO,81226
flp,FLORENCE HIGH USP,P.O. BOX 7000,FLORENCE,CO,81226
lom,LOMPOC II FCI,3901 KLEIN BLVD,LOMPOC,CA,93436
cse,SEATTLE CCM,2425 SOUTH 200 ST (AT FDC),SEATTLE,WA,98198
thp,TERRE HAUTE USP,P.O. BOX 33,TERRE HAUTE,IN,47808
buf,BUTNER LOW FCI,P.O. BOX 999,BUTNER,NC,27509
pen,PENSACOLA FPC,P.O. BOX 3949,PENSACOLA,FL,32516
ccn,CINCINNATI CCM,"36 E. 7TH ST., SUITE 2107-A",CINCINNATI,OH,45202
csa,SAN ANTONIO CCM,727 EAST CESAR E. CHAVEZ BLV,SAN ANTONIO,TX,78206
clp,COLEMAN II USP,P.O. BOX 1034,COLEMAN,FL,33521
alm,ALLENWOOD MED FCI,P.O. BOX 2000,WHITE DEER,PA,17887
oad,OAKDALE II FCI,P.O. BOX 5010,OAKDALE,LA,71463
clb,LONG BEACH CCM,1299 SEASIDE AVENUE,SAN PEDRO,CA,90731
haz,HAZELTON USP,P.O. BOX 2000,BRUCETON MILLS,WV,26525
col,COLEMAN LOW FCI,P.O. BOX 1031,COLEMAN,FL,33521
tha,TERRE HAUTE FCI,P.O. BOX 33,TERRE HAUTE,IN,47808
yaz,YAZOO CITY LOW FCI,P.O. BOX 5000,YAZOO CITY,MS,39194
cbr,BALTIMORE CCM,"400 FIRST STREET, NW",WASHINGTON,DC,20534
crl,RALEIGH CCM,OLD NC 75 HIGHWAY,BUTNER,NC,27509
cat,ATLANTA CCM,719 MCDONOUGH BLVD S.E.,ATLANTA,GA,30315
vip,VICTORVILLE USP,P.O. BOX 3900,ADELANTO,CA,92301
pol,POLLOCK USP,P.O. BOX 2099,POLLOCK,LA,71467
fom,FORREST CITY MED FCI,PO BOX 3000,FORREST CITY,AR,72336
pet,PETERSBURG FCI,P.O. BOX 1000,PETERSBURG,VA,23804
gua,GUAYNABO MDC,P.O. BOX 2005,CATANO,RQ,00963
cms,MINNEAPOLIS CCM,"300 SOUTH 4TH ST, SUITE 1210",MINNEAPOLIS,MN,55415
cnk,RRM NEW YORK,201 VARICK STREET,NEW YORK,NY,10014
cch,CHICAGO CCM,"1901 BUTTERFIELD ROAD, SUITE",DOWNERS GROVE,IL,60515
yam,YAZOO CITY LOW II FCI,P.O. BOX 5000,YAZOO CITY,MS,39194
pem,PETERSBURG MED FCI,P.O. BOX 1000,PETERSBURG,VA,23804
tcp,TUCSON USP,P.O. BOX 24550,TUCSON,AZ,85734
btf,BUTNER MED II FCI,P.O. BOX 1500,BUTNER,NC,27509
tcn,TUCSON FCI,P.O. BOX 23811,TUCSON,AZ,85734
cor,ORLANDO CCM,6303 COUNTY ROAD 500,WILDWOOD,FL,34785
oak,OAKDALE I FCI,P.O. BOX 5000,OAKDALE,LA,71463
vvm,VICTORVILLE MED II FCI,PO BOX 3850,ADELANTO,CA,92301
lee,LEE USP,P.O. BOX 305,JONESVILLE,VA,24263
lof,LOMPOC FCI,3600 GUARD ROAD,LOMPOC,CA,93436
alp,ALLENWOOD USP,P.O. BOX 3000,WHITE DEER,PA,17887
sch,SCHUYLKILL FCI,P.O. BOX 759,MINERSVILLE,PA,17954
ald,ALDERSON FPC,GLEN RAY RD. BOX A,ALDERSON,WV,24910
cpa,PHILADELPHIA CCM,2ND & CHESTNUT ST - 7TH FL,PHILADELPHIA,PA,19106
pom,POLLOCK MED FCI,P.O. BOX 4050,POLLOCK,LA,71467
cdt,DETROIT CCM,4026 E. ARKONA RD.,MILAN,MI,48160
mcd,MCDOWELL FCI,P.O.BOX 1009,WELCH,WV,24801
sst,SANDSTONE FCI,P.O. BOX 1000,SANDSTONE,MN,55072
yap,YAZOO CITY MED FCI,P.O. BOX 5000,YAZOO CITY,MS,39194
yan,YANKTON FPC,P.O. BOX 700,YANKTON,SD,57078
haf,HAZELTON FCI,P.O. BOX 5000,BRUCETON MILLS,WV,26525
tom,THOMSON FCI,PO BOX 1002,THOMSON,IL,61285
rbk,RAY BROOK FCI,P.O. BOX 900,RAY BROOK,NY,12977
